Marca,Produto,Produtos similares,Aplicação (veículos compatíveis)
ACDelco,Filtro de Óleo,"Filtro de ar, filtro de combustível","Mitsubishi L200 2017, Toyota Corolla 2021, Renault Sandero 2021"
ACDelco,Radiador,"Ventoinha, reservatório de expansão","Hyundai HB20 2022, Renault Sandero 2021, Volkswagen Polo 2019"
Bosch,Correia Dentada,"Tensor da correia, polia do virabrequim","Jeep Renegade 2022, Chevrolet Onix 2020, Ford Ka 2019"
Bosch,Pivô de Suspensão,"Terminal de direção, bieleta","Hyundai HB20 2022, Jeep Renegade 2022, Citroën C3 2019"
Bosch,Amortecedor Dianteiro,"Mola helicoidal, coxim de amortecedor","Honda Civic 2018, Fiat Argo 2020, Mitsubishi L200 2017"
Bosch,Coxim do Motor,"Coxim de câmbio, suporte do motor","Toyota Corolla 2021, Peugeot 208 2020, Volkswagen Polo 2019"
Cofap,Filtro de Ar,"Filtro de óleo, filtro de combustível","Peugeot 208 2020, Renault Sandero 2021, Toyota Yaris 2019"
Contitech,Pastilha de Freio,"Disco de freio, fluido de freio","Jeep Renegade 2022, Renault Sandero 2021, Chevrolet Onix 2020"
Contitech,Pastilha de Freio,"Disco de freio, fluido de freio","Honda Civic 2018, Kia Sportage 2021, Renault Sandero 2021"
Contitech,Pivô de Suspensão,"Terminal de direção, bieleta","Mitsubishi L200 2017, Peugeot 208 2020, Toyota Corolla 2021"
Contitech,Vela de Ignição,"Bobina de ignição, cabo de vela","Mitsubishi L200 2017, Jeep Renegade 2022, Volkswagen Polo 2019"
Contitech,Sensor de Oxigênio,"Sensor de rotação, sensor MAP","Peugeot 208 2020, Chevrolet Onix 2020, Nissan Versa 2018"
Contitech,Pastilha de Freio,"Disco de freio, fluido de freio","Citroën C3 2019, Chevrolet Onix 2020, Kia Sportage 2021"
Contitech,Sensor ABS,"Sensor de rotação, módulo ABS","Jeep Renegade 2022, Toyota Yaris 2019, Toyota Corolla 2021"
Contitech,Filtro de Óleo,"Filtro de ar, filtro de combustível","Toyota Yaris 2019, Peugeot 208 2020, Volkswagen Polo 2019"
Delphi,Pivô de Suspensão,"Terminal de direção, bieleta","Jeep Renegade 2022, Citroën C3 2019, Hyundai HB20 2022"
Delphi,Farol Principal,"Lâmpada halógena, lanterna traseira","Renault Sandero 2021, Chevrolet Onix 2020, Toyota Corolla 2021"
Delphi,Pivô de Suspensão,"Terminal de direção, bieleta","Volkswagen Polo 2019, Renault Sandero 2021, Toyota Corolla 2021"
Denso,Radiador,"Ventoinha, reservatório de expansão","Peugeot 208 2020, Renault Sandero 2021, Fiat Argo 2020"
Denso,Sensor de Oxigênio,"Sensor de rotação, sensor MAP","Citroën C3 2019, Kia Sportage 2021, Peugeot 208 2020"
Denso,Sensor de Oxigênio,"Sensor de rotação, sensor MAP","Toyota Yaris 2019, Peugeot 208 2020, Kia Sportage 2021"
Denso,Radiador,"Ventoinha, reservatório de expansão","Chevrolet Onix 2020, Fiat Argo 2020, Honda Civic 2018"
Hella,Sensor de Oxigênio,"Sensor de rotação, sensor MAP","Kia Sportage 2021, Ford Ka 2019, Citroën C3 2019"
Magneti Marelli,Filtro de Ar,"Filtro de óleo, filtro de combustível","Renault Sandero 2021, Mitsubishi L200 2017, Toyota Corolla 2021"
Magneti Marelli,Disco de Freio,"Pastilha de freio, cubo de roda","Chevrolet Onix 2020, Peugeot 208 2020, Mitsubishi L200 2017"
Magneti Marelli,Correia Dentada,"Tensor da correia, polia do virabrequim","Honda Civic 2018, Jeep Renegade 2022, Nissan Versa 2018"
Magneti Marelli,Filtro de Ar,"Filtro de óleo, filtro de combustível","Honda Civic 2018, Toyota Yaris 2019, Fiat Argo 2020"
Mahle,Coxim do Motor,"Coxim de câmbio, suporte do motor","Toyota Yaris 2019, Kia Sportage 2021, Peugeot 208 2020"
Mahle,Amortecedor Dianteiro,"Mola helicoidal, coxim de amortecedor","Volkswagen Polo 2019, Mitsubishi L200 2017, Kia Sportage 2021"
Monroe,Sensor ABS,"Sensor de rotação, módulo ABS","Honda Civic 2018, Kia Sportage 2021, Toyota Corolla 2021"
Monroe,Bieleta,"Pivô de suspensão, terminal de direção","Hyundai HB20 2022, Renault Sandero 2021, Toyota Yaris 2019"
Monroe,Vela de Ignição,"Bobina de ignição, cabo de vela","Jeep Renegade 2022, Ford Ka 2019, Nissan Versa 2018"
Monroe,Pastilha de Freio,"Disco de freio, fluido de freio","Hyundai HB20 2022, Citroën C3 2019, Renault Sandero 2021"
Monroe,Disco de Freio,"Pastilha de freio, cubo de roda","Volkswagen Polo 2019, Jeep Renegade 2022, Hyundai HB20 2022"
NGK,Filtro de Ar,"Filtro de óleo, filtro de combustível","Citroën C3 2019, Jeep Renegade 2022, Ford Ka 2019"
NGK,Sensor ABS,"Sensor de rotação, módulo ABS","Ford Ka 2019, Kia Sportage 2021, Mitsubishi L200 2017"
NGK,Filtro de Óleo,"Filtro de ar, filtro de combustível","Jeep Renegade 2022, Chevrolet Onix 2020, Hyundai HB20 2022"
NGK,Correia Dentada,"Tensor da correia, polia do virabrequim","Toyota Yaris 2019, Toyota Corolla 2021, Hyundai HB20 2022"
Nakata,Coxim do Motor,"Coxim de câmbio, suporte do motor","Hyundai HB20 2022, Kia Sportage 2021, Peugeot 208 2020"
Nakata,Sensor de Oxigênio,"Sensor de rotação, sensor MAP","Fiat Argo 2020, Toyota Yaris 2019, Mitsubishi L200 2017"
SKF,Sensor ABS,"Sensor de rotação, módulo ABS","Toyota Corolla 2021, Ford Ka 2019, Nissan Versa 2018"
SKF,Pivô de Suspensão,"Terminal de direção, bieleta","Citroën C3 2019, Honda Civic 2018, Hyundai HB20 2022"
SKF,Amortecedor Dianteiro,"Mola helicoidal, coxim de amortecedor","Citroën C3 2019, Renault Sandero 2021, Peugeot 208 2020"
SKF,Filtro de Óleo,"Filtro de ar, filtro de combustível","Peugeot 208 2020, Chevrolet Onix 2020, Kia Sportage 2021"
SKF,Embreagem Completa,"Atuador hidráulico, volante do motor","Mitsubishi L200 2017, Ford Ka 2019, Jeep Renegade 2022"
SKF,Disco de Freio,"Pastilha de freio, cubo de roda","Nissan Versa 2018, Toyota Corolla 2021, Renault Sandero 2021"
Valeo,Radiador,"Ventoinha, reservatório de expansão","Ford Ka 2019, Chevrolet Onix 2020, Nissan Versa 2018"
Valeo,Pastilha de Freio,"Disco de freio, fluido de freio","Toyota Yaris 2019, Citroën C3 2019, Renault Sandero 2021"
Valeo,Vela de Ignição,"Bobina de ignição, cabo de vela","Honda Civic 2018, Toyota Yaris 2019, Renault Sandero 2021"
Valeo,Bieleta,"Pivô de suspensão, terminal de direção","Citroën C3 2019, Hyundai HB20 2022, Renault Sandero 2021"
